"var","var_label","notes"
"LocID","UN WPP location identifier",""
"iso3","ISO3 country code",""
"year","Calendar year",""
"sex","Sex identifier","1=Male, 2=Female, 3=Total (as provided by UN WPP files used here)."
"age","Age (years), single-year age group start","Single-year age; interpreted as start of age interval."
"mx","Age-specific central death rate (mx)","See UN WPP documentation for units/definitions and any age-interval conventions."
"qx","Age-specific probability of dying between age x and x+1 (qx)",""
"ex","Remaining life expectancy at exact age x (ex)",""
"ax","Average number of person-years lived by those dying between x and x+1 (ax)",""
